Algorithm,Size,Run,TimeSeconds,MemoryMB
Standard,64,1,0.0264,36.67
Standard,64,2,0.027177,36.97
Standard,64,3,0.026862,36.97
Standard,128,1,0.212755,38.28
Standard,128,2,0.214222,39.55
Standard,128,3,0.212727,39.85
Standard,256,1,1.666439,44.63
Standard,256,2,1.689175,49.22
Standard,256,3,1.717357,48.85
Standard,512,1,14.122173,68.84
Standard,512,2,14.179032,73.64
Standard,512,3,14.242249,74.71
Standard,1024,1,126.704151,168.92
Standard,1024,2,133.253631,170.55
Standard,1024,3,157.562777,173.44
Standard,2048,1,1070.120184,539.18
Standard,2048,2,1069.008764,545.8
Standard,2048,3,1089.034549,548.88
Row-Oriented,64,1,0.02295,49.54
Row-Oriented,64,2,0.023078,44.79
Row-Oriented,64,3,0.021209,44.79
Row-Oriented,128,1,0.164437,44.09
Row-Oriented,128,2,0.1614,44.16
Row-Oriented,128,3,0.163044,44.41
Row-Oriented,256,1,1.310612,47.13
Row-Oriented,256,2,1.299512,51.23
Row-Oriented,256,3,1.300113,50.53
Row-Oriented,512,1,11.186616,71.86
Row-Oriented,512,2,11.080453,77.01
Row-Oriented,512,3,10.988242,78.72
Row-Oriented,1024,1,91.722511,171.83
Row-Oriented,1024,2,92.320441,175.24
Row-Oriented,1024,3,92.289547,175.96
Row-Oriented,2048,1,747.4165,548.22
Row-Oriented,2048,2,747.991902,544.29
Row-Oriented,2048,3,748.883672,551.94
Tiled-32,64,1,0.021136,49.78
Tiled-32,64,2,0.021688,45.78
Tiled-32,64,3,0.021375,45.78
Tiled-32,128,1,0.171779,45.28
Tiled-32,128,2,0.16975,45.36
Tiled-32,128,3,0.169928,45.61
Tiled-32,256,1,1.355503,47.28
Tiled-32,256,2,1.343177,51.97
Tiled-32,256,3,1.345332,51.72
Tiled-32,512,1,11.594634,72.68
Tiled-32,512,2,11.734384,77.37
Tiled-32,512,3,11.548347,80.7
Tiled-32,1024,1,96.249106,172.98
Tiled-32,1024,2,95.929233,182.39
Tiled-32,1024,3,96.516486,184.83
Tiled-32,2048,1,786.256487,548.5
Tiled-32,2048,2,784.136811,561.29
Tiled-32,2048,3,784.922696,568.1
Tiled-64,64,1,0.022213,53.46
Tiled-64,64,2,0.021125,50.46
Tiled-64,64,3,0.020702,50.46
Tiled-64,128,1,0.16664,49.75
Tiled-64,128,2,0.164087,49.83
Tiled-64,128,3,0.163815,50.07
Tiled-64,256,1,1.355365,51.0
Tiled-64,256,2,1.345377,51.78
Tiled-64,256,3,1.343224,52.59
Tiled-64,512,1,11.329847,72.38
Tiled-64,512,2,11.394532,82.24
Tiled-64,512,3,11.313855,83.77
Tiled-64,1024,1,93.976908,173.83
Tiled-64,1024,2,93.987169,194.83
Tiled-64,1024,3,94.100673,192.96
Tiled-64,2048,1,768.175587,549.83
Tiled-64,2048,2,767.098569,566.16
Tiled-64,2048,3,766.171201,573.58
Strassen,64,1,0.021798,55.03
Strassen,64,2,0.023617,52.03
Strassen,64,3,0.021735,52.03
Strassen,128,1,0.167371,51.22
Strassen,128,2,0.157613,51.3
Strassen,128,3,0.158153,51.54
Strassen,256,1,1.114417,54.62
Strassen,256,2,1.119679,56.69
Strassen,256,3,1.130986,57.03
Strassen,512,1,8.107839,99.07
Strassen,512,2,7.965842,107.61
Strassen,512,3,8.031318,108.0
Strassen,1024,1,57.247561,240.04
Strassen,1024,2,57.751066,263.26
Strassen,1024,3,57.705186,271.71
Strassen,2048,1,414.841721,799.62
Strassen,2048,2,418.460137,893.71
Strassen,2048,3,423.631216,895.2
NumPy-builtin,64,1,0.029833,60.01
NumPy-builtin,64,2,3.8e-05,60.07
NumPy-builtin,64,3,2.2e-05,60.07
NumPy-builtin,128,1,0.00023,61.19
NumPy-builtin,128,2,7.1e-05,61.44
NumPy-builtin,128,3,7.6e-05,61.44
NumPy-builtin,256,1,0.000621,65.97
NumPy-builtin,256,2,0.000358,66.97
NumPy-builtin,256,3,0.000354,66.97
NumPy-builtin,512,1,0.004643,77.98
NumPy-builtin,512,2,0.003789,77.98
NumPy-builtin,512,3,0.003624,77.98
NumPy-builtin,1024,1,0.018266,105.93
NumPy-builtin,1024,2,0.017726,105.93
NumPy-builtin,1024,3,0.020673,105.93
NumPy-builtin,2048,1,0.135982,191.88
NumPy-builtin,2048,2,0.137058,191.88
NumPy-builtin,2048,3,0.125569,191.88
NumPy-matmul,64,1,0.002274,95.91
NumPy-matmul,64,2,2.7e-05,95.91
NumPy-matmul,64,3,2.3e-05,95.91
NumPy-matmul,128,1,8.6e-05,95.91
NumPy-matmul,128,2,7.6e-05,95.91
NumPy-matmul,128,3,6.1e-05,95.91
NumPy-matmul,256,1,0.000489,95.91
NumPy-matmul,256,2,0.000381,95.91
NumPy-matmul,256,3,0.000351,95.91
NumPy-matmul,512,1,0.003993,101.92
NumPy-matmul,512,2,0.003978,101.92
NumPy-matmul,512,3,0.003711,101.92
NumPy-matmul,1024,1,0.01826,119.92
NumPy-matmul,1024,2,0.017523,119.92
NumPy-matmul,1024,3,0.01798,119.92
NumPy-matmul,2048,1,0.133287,191.92
NumPy-matmul,2048,2,0.12174,191.92
NumPy-matmul,2048,3,0.12253,191.92
NumPy-Tiled-64,64,1,0.002107,95.92
NumPy-Tiled-64,64,2,4.1e-05,95.92
NumPy-Tiled-64,64,3,3.2e-05,95.92
NumPy-Tiled-64,128,1,0.000767,95.93
NumPy-Tiled-64,128,2,0.000259,95.93
NumPy-Tiled-64,128,3,0.000255,95.93
NumPy-Tiled-64,256,1,0.002056,95.93
NumPy-Tiled-64,256,2,0.001753,95.93
NumPy-Tiled-64,256,3,0.001487,95.93
NumPy-Tiled-64,512,1,0.016855,101.95
NumPy-Tiled-64,512,2,0.016917,101.95
NumPy-Tiled-64,512,3,0.015485,101.95
NumPy-Tiled-64,1024,1,0.134576,119.95
NumPy-Tiled-64,1024,2,0.130606,119.95
NumPy-Tiled-64,1024,3,0.129298,119.95
NumPy-Tiled-64,2048,1,1.048482,191.95
NumPy-Tiled-64,2048,2,1.03083,191.95
NumPy-Tiled-64,2048,3,1.065434,191.95
NumPy-Strassen,64,1,5.6e-05,95.93
NumPy-Strassen,64,2,3.2e-05,95.93
NumPy-Strassen,64,3,2.8e-05,95.93
NumPy-Strassen,128,1,0.000478,96.27
NumPy-Strassen,128,2,0.000274,96.27
NumPy-Strassen,128,3,0.000275,96.27
NumPy-Strassen,256,1,0.002367,97.52
NumPy-Strassen,256,2,0.002075,97.52
NumPy-Strassen,256,3,0.002131,97.52
NumPy-Strassen,512,1,0.020576,106.85
NumPy-Strassen,512,2,0.016194,106.85
NumPy-Strassen,512,3,0.019126,98.35
NumPy-Strassen,1024,1,0.133524,124.35
NumPy-Strassen,1024,2,0.139273,124.35
NumPy-Strassen,1024,3,0.140202,124.35
NumPy-Strassen,2048,1,1.045482,188.85
NumPy-Strassen,2048,2,1.040909,188.85
NumPy-Strassen,2048,3,1.045333,196.35
